长度	短句	频率	英文
3	x杏仁	225	
3	x细辛	156	
3	x无毒	804	
3	x天雄	104	
3	x天麻	151	
3	x桃仁	172	
3	x水银	108	
3	x石膏	204	
3	x升麻	129	
3	x麝香	232	
3	x乳香	158	
3	x人参	969	
3	x秦艽	111	
3	x羌活	222	
3	x前胡	272	
3	x牛膝	203	
3	x牛黄	210	
3	x木香	618	
3	x木通	157	
3	x牡蛎	109	
3	x没药	106	
3	x麻黄	441	
3	x鹿茸	123	
3	x龙脑	106	
3	x龙骨	140	
3	x硫黄	194	
3	x苦参	109	
3	x桔梗	125	
3	x黄芩	206	
3	x黄连	558	
3	x黄柏	116	
3	x滑石	105	
3	x琥珀	104	
3	x厚朴	277	
3	x桂心	220	
3	x葛根	132	
3	x干姜	189	
3	x甘草	258	
3	x附子	481	
3	x茯神	136	
3	x防风	324	
3	x独活	195	
3	x丁香	233	
3	x当归	608	
3	x丹砂	116	
3	x大黄	323	
3	x磁石	101	
3	x川芎	120	
3	x沉香	256	
3	x柴胡	388	
3	x苍术	125	
3	x槟榔	358	
3	x鳖甲	264	
3	x半夏	481	
3	x白术	472	
3	x白矾	166	
3	x巴豆	150	
3	x阿胶	198	
3	xx痛	111	
3	xx方	110	
3	sup	165	
3	sub	1131	
3	div	1162	
3	bmp	397	
3	60岁	104	
3	50岁	185	
3	48岁	117	
3	45岁	177	
3	43岁	102	
3	42岁	114	
3	40岁	188	
3	38岁	172	
3	36岁	125	
3	35岁	162	
3	34岁	105	
3	32岁	141	
3	30岁	190	
3	30克	143	
3	30g	150	
3	28岁	144	
3	26岁	117	
3	25岁	119	
3	24岁	111	
3	183	290	
3	15克	159	
3	15g	176	
3	12克	150	
3	10剂	217	
3	10g	341	
3	100	104	
3	〔证〕	382	
3	〔宜〕	186	
3	〔王氏	124	
3	〔平〕	134	
3	〔批〕	113	
3	〔论〕	240	
3	〔嘉〕	277	
3	〔忌〕	107	
3	〔寒〕	123	
3	”又曰	132	
3	　生姜	233	
3	　芍药	189	
3	　人参	116	
3	　桂枝	179	
3	　干姜	146	
3	　甘草	433	
3	　茯苓	126	
3	　大枣	183	
3	　半夏	136	
4	坐卧不宁	119	be unable to sit down or sleep at ease
4	坐卧不得	135	be unable to sit down or sleep at ease
4	坐卧不安	393	be unable to sit down or sleep at ease
4	佐以苦辛	196	
4	佐以苦甘	231	
4	佐以甘辛	123	
4	左瘫右痪	134	
4	醉以入房	102	
4	最为难治	121	
4	组成用法	101	
4	足之三阴	117	
4	足之三阳	114	
4	足太阴脾	101	
4	走注疼痛	120	
4	总而言之	131	
4	综合脉证	477	
4	自下利者	171	
4	自下而上	113	
4	自利益甚	118	
4	自极七息	113	
4	自汗盗汗	452	
4	自汗不止	127	
4	紫苏茎叶	304	
4	紫花地丁	200	
4	子死腹中	223	
4	子母秘录	434	
4	浊者为卫	111	
4	浊气在上	128	
4	状如伤寒	118	
4	壮水之主	132	
4	壮火食气	155	
4	庄氏家传	205	
4	注意事项	508	
4	煮汁饮之	101	
4	煮汁服之	103	
4	煮取一升	1343	
4	煮取五升	372	
4	煮取四升	386	
4	煮取三升	3660	
4	煮取七合	139	
4	煮取六升	541	
4	煮取二升	1806	
4	煮取半升	129	
4	煮取八合	105	
4	主治病名	221	
4	主要成分	363	
4	猪牙皂角	426	
4	猪牙皂荚	158	
4	诸症悉退	118	
4	诸症渐愈	108	
4	诸证消失	180	
4	诸证悉退	111	
4	诸药无效	101	
4	诸药合用	148	
4	诸药不应	226	
4	诸药不效	461	
4	诸湿肿满	159	
4	诸逆冲上	119	
4	诸风掉眩	174	
4	诸方第一	134	
4	朱砂为衣	801	
4	朱丹溪曰	179	
4	昼日明了	110	
4	粥饮调下	107	
4	周而复始	252	
4	州都之官	216	
4	重亡津液	103	
4	种种不同	119	
4	终而复始	216	
4	中医杂志	114	
4	中医辨证	156	
4	中气不足	266	
4	中气不运	138	
4	中焦如沤	119	
4	中见土运	119	
4	中见水运	112	
4	中见木运	112	
4	中见金运	104	
4	中见火运	101	
4	中病即止	146	
4	治主病者	119	
4	治之之法	267	
4	治之奈何	398	
4	治之而愈	162	
4	治证同前	120	
4	治以咸寒	197	
4	治以苦温	113	
4	治以甘热	138	
4	治一切风	102	
4	治如食法	148	
4	治破伤风	164	
4	治疗之法	115	
4	治赤白痢	176	
4	炙微赤锉	424	
4	炙各一两	344	
4	炙各二两	188	
4	炙各半两	287	
4	炙甘草汤	179	
4	炙锉半两	181	
4	炙草3克	107	
4	至四五日	130	
4	至七八日	159	
4	止小便利	139	
4	止痛生肌	110	
4	栀子豉汤	165	
4	肢体疼痛	151	
4	肢体倦怠	430	
4	肢节疼痛	264	
4	肢节烦疼	229	
4	知母之类	123	
4	知犯何逆	182	
4	证治准绳	460	
4	证治要诀	163	
4	证治汇补	148	
4	正坐取之	273	
4	正谓此也	102	
4	正化度也	191	
4	蒸饼为丸	145	
4	针入五分	246	
4	针入三分	586	
4	针入二分	140	
4	这样的话	103	
4	这个时候	118	
4	张志聪曰	1530	
4	张兆璜曰	125	
4	张氏医通	215	
4	张氏家传	142	
4	张介宾曰	104	
4	乍寒乍热	412	
4	憎寒壮热	351	
4	憎寒发热	180	
4	则为病热	122	
4	则生飧泄	107	
4	燥淫所胜	134	
4	枣子一枚	155	
4	枣肉为丸	113	
4	在地为木	101	
4	在地为火	115	
4	再同研匀	138	
4	运行规律	358	
4	孕妇忌服	104	
4	月余而愈	114	
4	月水不通	144	
4	月水不调	278	
4	月事不调	103	
4	月经不调	389	
4	愿卒闻之	170	
4	愿闻其说	110	
4	愿闻其故	174	
4	元气下陷	111	
4	元气不足	104	
4	御药院方	140	
4	喻嘉言曰	172	
4	欲作奔豚	104	
4	欲饮水者	149	
4	欲吐不吐	208	
4	郁郁微烦	107	
4	语言难出	111	
4	语言謇涩	212	
4	语言蹇涩	102	
4	语声不出	206	
4	禹锡等按	133	
4	与麻黄汤	106	
4	余皆仿此	112	
4	右作一服	167	
4	右为细末	1592	
4	右为粗末	224	
4	右水煎服	127	
4	酉阳杂俎	134	
4	有燥屎也	143	
4	有虚有实	149	
4	有宿食也	112	
4	有升无降	137	
4	游溢精气	241	
4	由是观之	264	
4	由此可见	139	
4	由此观之	322	
4	尤宜服之	101	
4	用藥大意	116	
4	用药大意	232	
4	用水一盏	197	
4	用水二钟	127	
4	用水二盅	189	
4	用六味丸	211	
4	用地黄丸	126	
4	用八珍汤	170	
4	用八味丸	131	
4	永类钤方	134	
4	永不再发	166	
4	痈疽发背	116	
4	营卫不和	106	
4	营行脉中	124	
4	婴童宝鉴	200	
4	隐涩难开	125	
4	饮食自倍	133	
4	饮食无味	676	
4	饮食失节	229	
4	饮食少思	1055	
4	饮食少进	294	
4	饮食入胃	223	
4	饮食如故	387	
4	饮食如常	342	
4	饮食难化	103	
4	饮食渐进	219	
4	饮食减少	990	
4	饮食不消	341	
4	饮食不下	790	
4	饮食不思	207	
4	饮食不入	339	
4	饮食不进	744	
4	饮食不节	380	
4	饮食不化	335	
4	饮食不甘	171	
4	饮入于胃	137	
4	饮服十丸	107	
4	引用生姜	129	
4	茵陈蒿汤	167	
4	阴中之阳	344	
4	阴中有阳	213	
4	阴中阳也	270	
4	阴中微阳	175	
4	阴阳之气	122	
4	阴阳俱虚	117	
4	阴阳不和	249	
4	阴阳别论	183	
4	阴气有余	147	
4	阴气不足	170	
4	阴平阳秘	120	
4	阴干为末	226	
4	阴常不足	102	
4	以助药力	172	
4	以制阳光	112	
4	以知为数	238	
4	以知为度	592	
4	以愈为度	201	
4	以意加减	451	
4	以辛泻之	141	
4	以辛散之	109	
4	以辛润之	219	
4	以辛补之	141	
4	以消阴翳	122	
4	以咸泻之	194	
4	以咸补之	231	
4	以吐为度	118	
4	以痛为输	177	
4	以通为度	116	
4	以酸泻之	185	
4	以酸收之	339	
4	以酸补之	159	
4	以水一盏	581	
4	以水一升	380	
4	以水一斗	1942	
4	以水五升	1206	
4	以水四升	632	
4	以水三盏	139	
4	以水三升	1328	
4	以水三斗	132	
4	以水七升	1301	
4	以水六升	1105	
4	以水九升	681	
4	以水二盏	295	
4	以水二升	556	
4	以水二斗	206	
4	以水八升	916	
4	以手按之	131	
4	以善其后	114	
4	以平为期	198	
4	以利为度	690	
4	以苦泻之	192	
4	以苦泄之	196	
4	以苦坚之	185	
4	以苦发之	182	
4	以苦补之	127	
4	以酒一升	104	
4	以酒三升	113	
4	以经取之	246	
4	以甘泻之	312	
4	以甘缓之	356	
4	以甘补之	199	
4	以法治之	141	
4	以瘥为度	822	
4	已而果然	102	
4	遗精白浊	161	
4	宜用此方	308	
4	宜五苓散	149	
4	宜四逆汤	289	
4	宜麻黄汤	248	
4	宜理中汤	123	
4	宜急治之	134	
4	宜桂枝汤	551	
4	宜瓜蒂散	141	
4	宜服此药	145	
4	宜服此方	975	
4	噫气吞酸	121	
4	医宗金鉴	593	
4	医宗必读	154	
4	医之罪也	176	
4	医学正传	210	
4	医学心悟	105	
4	医学入门	369	
4	医学纲目	299	
4	医门法律	171	
4	医林集要	101	
4	医林改错	104	
4	医疗案例	220	
4	医家论药	358	
4	医方集解	183	
4	医反下之	477	
4	一身尽痛	215	
4	一日一夜	104	
4	一日一换	182	
4	一日三服	256	
4	一日三次	117	
4	一钱细研	202	
4	一钱五分	7403	
4	一钱二分	774	
4	一两一分	264	
4	一两细研	508	
4	一两五钱	1341	
4	一两微炒	560	
4	一两生用	125	
4	一两烧灰	202	
4	一两三钱	115	
4	一两去须	225	
4	一两去心	403	
4	一两去皮	178	
4	一两去苗	591	
4	一两炮裂	114	
4	一两六钱	147	
4	一两二钱	387	
4	一两半锉	149	
4	一剂而愈	147	
4	一服即愈	105	
4	一服而愈	125	
4	一分细研	893	
4	一分微炒	137	
4	夜卧不安	147	
4	夜行于阴	179	
4	夜多盗汗	160	
4	也就是说	224	
4	药性论云	427	
4	药食宜也	184	
4	药理作用	351	
4	药类法象	148	
4	腰膝无力	120	
4	腰膝疼痛	109	
4	腰膝酸软	113	
4	腰脚疼痛	164	
4	腰背反张	101	
4	仰而取之	311	
4	阳中之阴	287	
4	阳中有阴	204	
4	阳中阴也	228	
4	阳盛阴虚	148	
4	阳气有余	187	
4	阳气虚也	125	
4	阳气内陷	103	
4	阳气独发	157	
4	阳气不足	203	
4	阳明中风	133	
4	阳明司天	219	
4	扬手掷足	147	
4	验方第一	404	
4	眼目昏暗	156	
4	盐泥固济	256	
4	研为细末	552	
4	研令极细	163	
4	研极细末	270	
4	研各一两	207	
4	研各一分	213	
4	研各半两	198	
4	言语謇涩	371	
4	言语错乱	111	
4	延年益寿	141	
4	咽喉肿痛	570	
4	咽喉不利	626	
4	咽喉闭塞	102	
4	咽膈不利	143	
4	咽干口燥	164	
4	咽嗌不利	118	
4	牙关紧急	601	
4	牙关紧闭	259	
4	循衣摸床	236	
4	血主濡之	125	
4	血气不足	127	
4	血出不止	180	
4	穴位介绍	208	
4	薛立斋曰	233	
4	许学士云	143	
4	徐徐服之	114	
4	虚者补之	232	
4	虚则补之	504	
4	虚羸少气	123	
4	虚火上炎	200	
4	虚寒相搏	128	
4	宿食不消	427	
4	胸胁支满	230	
4	胸胁胀满	111	
4	胸胁苦满	255	
4	胸满短气	106	
4	胸膈胀满	112	
4	胸膈痞塞	132	
4	胸膈痞闷	381	
4	胸膈痞满	254	
4	胸膈满闷	216	
4	胸膈烦闷	105	
4	胸膈不利	512	
4	胸膈不快	114	
4	胸腹胀满	122	
4	性温无毒	109	
4	形体消瘦	168	
4	形气不足	118	
4	新校正云	271	
4	新汲水下	129	
4	新方八阵	110	
4	辛以散之	148	
4	心主血脉	217	
4	心中疼热	158	
4	心中烦闷	139	
4	心中懊憹	156	
4	心胸满闷	134	
4	心胸烦闷	187	
4	心胸不利	131	
4	心下痞硬	597	
4	心下痞满	203	
4	心下痞坚	170	
4	心下逆满	126	
4	心肾不交	165	
4	心神恍惚	252	
4	心神烦躁	261	
4	心神烦热	141	
4	心神烦闷	283	
4	心神不宁	120	
4	心神不安	139	
4	心气不足	243	
4	心腹胀痛	161	
4	心腹胀满	861	
4	心腹疼痛	439	
4	心腹痞满	162	
4	心腹冷痛	170	
4	心腹绞痛	160	
4	心腹刺痛	261	
4	心烦喜呕	185	
4	泄泻不止	228	
4	胁下硬满	125	
4	胁肋胀满	122	
4	邪之所凑	222	
4	邪在表也	156	
4	邪气实也	125	
4	效不更方	107	
4	小续命汤	230	
4	小陷胸汤	149	
4	小水不利	182	
4	小青龙汤	362	
4	小筋弛长	101	
4	小建中汤	345	
4	小腹胀满	143	
4	小腹疼痛	117	
4	小腹急痛	195	
4	小儿夜啼	107	
4	小儿头疮	110	
4	小儿惊痫	335	
4	小儿惊风	150	
4	小儿初生	190	
4	小承气汤	314	
4	小柴胡汤	1183	
4	小便自利	751	
4	小便余沥	136	
4	小便数者	139	
4	小便少者	122	
4	小便涩滞	123	
4	小便如淋	137	
4	小便清长	165	
4	小便清利	136	
4	小便清白	131	
4	小便频数	715	
4	小便秘涩	107	
4	小便淋涩	114	
4	小便淋沥	258	
4	小便利者	241	
4	小便黄赤	405	
4	小便滑数	191	
4	小便复利	150	
4	小便短少	208	
4	小便短赤	299	
4	小便赤少	103	
4	小便赤濇	133	
4	小便赤涩	1127	
4	小便赤色	111	
4	小便赤黄	351	
4	小便不通	1160	
4	小便不利	4998	
4	小便不禁	314	
4	小便白浊	272	
4	小半夏汤	146	
4	消肿止痛	122	
4	项背拘急	151	
4	香油调敷	162	
4	香油调搽	111	
4	现代用法	159	
4	现代研究	364	
4	咸能软坚	128	
4	弦则为减	137	
4	先煮麻黄	335	
4	先熏后洗	169	
4	先温其里	109	
4	先寒后热	206	
4	夏伤于暑	283	
4	下之则愈	185	
4	下之则死	123	
4	下之为逆	110	
4	下者举之	109	
4	下血不止	315	
4	下虚上实	147	
4	下输膀胱	373	
4	下痢赤白	190	
4	下利清谷	505	
4	下利不止	267	
4	下焦如渎	133	
4	下部无脉	107	
4	细研为散	171	
4	细研为末	133	
4	细研如粉	114	
4	细辛3克	102	
4	细审其证	268	
4	细罗为散	468	
4	细锉和匀	127	
4	犀角散方	128	
4	翕翕发热	318	
4	稀稠得所	124	
4	西医诊断	220	
4	西方子云	226	
4	西安市人	115	
4	夕发旦死	116	
4	误人多矣	103	
4	勿令泄气	293	
4	勿令人知	105	
4	兀兀欲吐	102	
4	午后发热	107	
4	五脏之气	150	
4	五脏六腑	405	
4	五月五日	119	
4	五心烦热	625	
4	五味入口	144	
4	五味出焉	103	
4	五劳七伤	324	
4	五经并行	177	
4	梧桐子大	1216	
4	吴茱萸汤	262	
4	无效2例	170	
4	无效1例	161	
4	无所不至	159	
4	无时温服	191	
4	无气以动	116	
4	无汗恶寒	141	
4	无大热者	169	
4	无处不到	135	
4	无不愈者	223	
4	无不神效	130	
4	无表里证	123	
4	乌贼鱼骨	511	
4	乌梅一个	314	
4	卧起不安	120	
4	温中下气	149	
4	温之以气	113	
4	温水调下	197	
4	温水送下	123	
4	温米饮下	195	
4	温酒调下	1282	
4	温酒调服	237	
4	温酒送下	302	
4	温进一服	112	
4	温服一升	2223	
4	温服无时	183	
4	温服七合	369	
4	温服八合	142	
4	温分三服	182	
4	温病条辨	322	
4	魏荔彤曰	216	
4	胃中有热	135	
4	胃中虚冷	120	
4	胃中空虚	102	
4	胃中干燥	158	
4	胃中不和	108	
4	胃气虚也	111	
4	胃气上逆	133	
4	味甘性平	122	
4	味甘无毒	115	
4	未之有也	138	
4	未欲解也	108	
4	未利再服	118	
4	未见复发	106	
4	卫生宝鉴	232	
4	卫行脉外	272	
4	为什么呢	241	
4	为极细末	155	
4	为寒所折	110	
4	为此诸病	221	
4	往来寒热	863	
4	王太仆云	105	
4	王氏手集	131	
4	王肯堂曰	317	
4	王好古曰	129	
4	王不留行	411	
4	完谷不化	185	
4	丸梧子大	170	
4	丸桐子大	107	
4	外台秘要	1204	
4	外科正宗	200	
4	外感风寒	200	
4	推陈致新	368	
4	吐血衄血	232	
4	吐血不止	161	
4	吐泻不止	128	
4	涂蔚生曰	152	
4	头晕目眩	140	
4	头项强痛	187	
4	头痛壮热	206	
4	头痛项强	128	
4	头痛身热	168	
4	头痛如破	154	
4	头痛目眩	162	
4	头痛发热	452	
4	头疼身痛	123	
4	头目眩晕	275	
4	头目昏重	167	
4	头目昏眩	438	
4	头目昏痛	189	
4	头目不清	142	
4	痛不可忍	932	
4	童子小便	144	
4	铜人经云	332	
4	同研令匀	278	
4	同研令细	102	
4	同为细末	206	
4	同气相求	102	
4	同煎七分	193	
4	通调水道	302	
4	通行本佚	124	
4	调下二钱	143	
4	调理而愈	110	
4	调理而安	123	
4	调和营卫	150	
4	天一生水	139	
4	天台乌药	130	
4	天气主之	174	
4	天地之气	186	
4	涕唾稠粘	306	
4	体重节痛	101	
4	疼痛难忍	121	
4	疼痛不止	199	
4	讨论归经	261	
4	陶隐居云	1325	
4	陶弘景曰	127	
4	唐本注云	635	
4	唐本先附	172	
4	汤液经法	110	
4	汤液本草	314	
4	汤洗七次	435	
4	汤洗七遍	141	
4	汤泡七次	345	
4	汤浸去皮	147	
4	汤浸去白	153	
4	痰涎壅盛	432	
4	痰涎壅塞	226	
4	痰涎上涌	118	
4	痰涎不利	111	
4	痰逆恶心	113	
4	太阴在泉	161	
4	太阴司天	238	
4	太阴湿土	110	
4	太阳中风	331	
4	太阳之上	105	
4	太阳之脉	154	
4	太阳司天	211	
4	太冲脉盛	114	
4	胎衣不下	181	
4	胎死腹中	137	
4	胎动不安	297	
4	所在有之	115	
4	所愿不得	107	
4	所以主之	122	
4	所以然者	1821	
4	所生病者	121	
4	孙真人云	192	
4	遂漏不止	104	
4	岁金太过	110	
4	岁火太过	114	
4	岁谷宜丹	156	
4	岁半之前	143	
4	岁半之后	146	
4	随证治之	170	
4	随证加减	267	
4	酸枣仁汤	112	
4	酸石榴皮	194	
4	苏州府志	103	
4	苏合香丸	156	
4	四肢无力	890	
4	四肢微急	126	
4	四肢疼痛	386	
4	四肢酸疼	157	
4	四肢少力	265	
4	四肢强直	129	
4	四肢逆冷	612	
4	四肢羸瘦	219	
4	四肢困倦	192	
4	四肢厥逆	287	
4	四肢厥冷	704	
4	四肢倦怠	342	
4	四肢拘挛	207	
4	四肢拘急	508	
4	四肢浮肿	308	
4	四肢烦疼	347	
4	四肢烦热	105	
4	四肢乏力	145	
4	四肢沉重	337	
4	四肢不温	108	
4	四肢不收	492	
4	四肢不举	492	
4	四肢不和	142	
4	四时之气	124	
4	四十九粒	257	
4	四十九个	129	
4	四圣心源	300	
4	四君子汤	672	
4	思则气结	110	
4	思想无穷	104	
4	思过半矣	175	
4	睡卧不宁	183	
4	睡卧不安	309	
4	水一钟半	685	
4	水一中盏	757	
4	水一盏半	4746	
4	水一小盏	345	
4	水一大盏	624	
4	水停心下	191	
4	水三茶杯	123	
4	水精四布	194	
4	水浆不下	176	
4	水浆不入	203	
4	水煎温服	1970	
4	水煎热服	259	
4	水煎服之	165	
4	水谷不消	146	
4	水谷不化	450	
4	水谷不分	101	
4	水二大盏	209	
4	水道出焉	205	
4	水道不通	123	
4	数则为热	254	
4	数剂而愈	152	
4	数服而愈	127	
4	数次即愈	105	
4	属阳明也	186	
4	熟干地黄	1469	
4	熟地一两	186	
4	手足指冷	106	
4	手足心热	220	
4	手足温者	151	
4	手足顽麻	112	
4	手足逆冷	804	
4	手足麻木	112	
4	手足麻痹	141	
4	手足厥逆	522	
4	手足厥冷	1231	
4	手足俱冷	107	
4	手足拘挛	153	
4	手足烦热	237	
4	手足搐搦	197	
4	手足抽掣	148	
4	手足不遂	280	
4	手足不随	103	
4	手足不仁	155	
4	手足并冷	215	
4	手之三阳	106	
4	手不可近	186	
4	适其寒温	134	
4	是无水也	175	
4	是无火也	224	
4	是其候也	227	
4	视物不明	241	
4	使君子肉	158	
4	食之杀人	108	
4	食远温服	550	
4	食欲不振	322	
4	食饮不下	331	
4	食医心镜	216	
4	食少体倦	181	
4	食入即吐	106	
4	食前温服	968	
4	食前热服	135	
4	食气入胃	120	
4	食难用饱	106	
4	食后温服	873	
4	食后临卧	256	
4	食不消化	269	
4	实则泻之	171	
4	实则闭癃	102	
4	实验证明	103	
4	实验表明	196	
4	时作时止	175	
4	时珍曰∶	309	
4	时时恶风	103	
4	时腹自痛	113	
4	时发时止	149	
4	时发寒热	146	
4	十二枚擘	186	
4	十二经脉	139	
4	湿纸裹煨	134	
4	湿淫所胜	170	
4	湿热相搏	118	
4	湿热下注	110	
4	失音不语	224	
4	盛则泻之	256	
4	圣济总录	1167	
4	生去皮脐	109	
4	生麦门冬	133	
4	生津止渴	202	
4	生姜一片	255	
4	生姜五片	1227	
4	生姜五两	102	
4	生姜汤下	458	
4	生姜四片	169	
4	生姜四两	140	
4	生姜十片	173	
4	生姜三片	2721	
4	生姜三两	251	
4	生姜七片	325	
4	生姜煎服	206	
4	生姜二片	249	
4	生姜半分	292	
4	生姜9克	131	
4	生姜3片	258	
4	生肌止痛	117	
4	生怀山药	162	
4	生干地黄	1633	
4	生地黄汁	556	
4	慎之慎之	222	
4	肾为水脏	139	
4	肾水不足	120	
4	肾气不足	144	
4	沈尧封曰	105	
4	神曲糊丸	178	
4	神疲乏力	155	
4	神农本经	177	
4	神农本草	140	
4	神明出焉	176	
4	神昏谵语	119	
4	神而明之	168	
4	神不守舍	144	
4	身有微热	252	
4	身体壮热	255	
4	身体疼痛	475	
4	身体羸瘦	122	
4	身体沉重	153	
4	身热头痛	125	
4	身热如火	128	
4	身热不去	123	
4	身必发黄	248	
4	身半以下	111	
4	申斗垣曰	144	
4	麝香一钱	115	
4	麝香一分	137	
4	麝香少许	271	
4	舌质淡红	155	
4	舌苔黄腻	159	
4	舌苔薄白	517	
4	舌苔白腻	788	
4	舌红苔黄	122	
4	舌淡苔白	144	
4	少俞答曰	112	
4	少阴之上	136	
4	少阴之脉	104	
4	少阴在泉	139	
4	少阴司天	264	
4	少阳相火	121	
4	少阳司天	228	
4	少思饮食	124	
4	少少与之	115	
4	少火生气	110	
4	少腹里急	122	
4	少腹拘急	107	
4	芍药三两	157	
4	烧灰细研	112	
4	烧灰存性	375	
4	上作一服	1235	
4	上至心下	131	
4	上支两胁	116	
4	上一十味	744	
4	上下不通	124	
4	上五味切	139	
4	上为细散	321	
4	上为细末	12436	
4	上为锉散	267	
4	上为粗散	256	
4	上为粗末	1485	
4	上吐下泻	125	
4	上四味切	189	
4	上水盏半	123	
4	上水煎服	561	
4	上水二盏	235	
4	上输于脾	227	
4	上实下虚	207	
4	上十一味	197	
4	上十四味	113	
4	上十二味	270	
4	上盛下虚	169	
4	上三味切	104	
4	上入颃颡	109	
4	上热下寒	143	
4	上气喘急	312	
4	上气不足	104	
4	上七味切	125	
4	上匿下虫	147	
4	上六味切	155	
4	上九味切	102	
4	上件药捣	1313	
4	上件为末	273	
4	上归于肺	300	
4	上各等分	354	
4	上额交巅	112	
4	上锉一剂	919	
4	上粗捣筛	788	
4	上八味切	134	
4	伤寒中风	112	
4	伤寒一日	104	
4	伤寒头痛	115	
4	伤寒三日	158	
4	伤寒脉浮	164	
4	伤寒发热	234	
4	山茱萸肉	213	
4	山栀子仁	402	
4	晒干为末	282	
4	沙苑蒺藜	128	
4	啬啬恶寒	137	
4	桑根白皮	1584	
4	散精于肝	110	
4	三月采根	116	
4	三阴三阳	112	
4	三阳合病	207	
4	三上三下	137	
4	三钱五分	120	
4	三剂全愈	101	
4	三分细研	156	
4	三分微炒	176	
4	三分去心	138	
4	三分去苗	151	
4	洒淅恶寒	139	
4	若有若无	131	
4	若能食者	110	
4	若不早治	158	
4	若不急治	157	
4	入足太阴	163	
4	入足厥阴	131	
4	入枣三枚	136	
4	入盐少许	377	
4	入研了药	204	
4	入手太阴	187	
4	入手少阴	106	
4	入蜜少许	141	
4	入姜三片	130	
4	入房太甚	110	
4	儒门事亲	385	
4	如枣核大	117	
4	如樱桃大	108	
4	如小豆大	357	
4	如梧子大	849	
4	如豌豆大	110	
4	如桐子大	1439	
4	如粟米大	131	
4	如黍米大	328	
4	如芡实大	228	
4	如麻子大	520	
4	如麻豆大	128	
4	如绿豆大	1459	
4	如龙眼大	111	
4	如结胸状	124	
4	如见鬼状	137	
4	如鸡子大	194	
4	如鸡头大	181	
4	如环无端	231	
4	如弹子大	729	
4	肉色不变	190	
4	肉桂一钱	171	
4	柔则养筋	133	
4	荣卫不行	117	
4	荣行脉中	106	
4	日夜无度	298	
4	日夜不止	139	
4	日晚再服	179	
4	日四五服	148	
4	日三夜一	637	
4	日三夜二	195	
4	日三五度	190	
4	日三五次	122	
4	日三四服	659	
4	日三四度	102	
4	日轻夜重	145	
4	日久不愈	106	
4	日进三服	436	
4	日进二服	274	
4	日渐羸瘦	299	
4	日华子云	1057	
4	日服二次	131	
4	日服3次	130	
4	日二夜一	212	
4	日二三服	152	
4	日晡益甚	141	
4	日晡发热	138	
4	日晡潮热	163	
4	人之一身	122	
4	人参一钱	168	
4	人参一两	254	
4	人参五钱	139	
4	人参汤下	144	
4	人参汤方	185	
4	人参散方	138	
4	人参三钱	201	
4	人参三两	191	
4	人参二钱	117	
4	人参二两	178	
4	热者寒之	132	
4	热则生风	105	
4	热则疾之	198	
4	热淫于内	215	
4	热淫所胜	180	
4	热入血室	246	
4	热酒调下	328	
4	热酒调服	113	
4	热结在里	248	
4	热结膀胱	201	
4	热多寒少	389	
4	全幼心鉴	118	
4	全部治愈	153	
4	全不思食	140	
4	去滓温服	4443	
4	去滓热服	309	
4	去滓放温	138	
4	去渣温服	530	
4	去须一两	116	
4	去心一两	114	
4	去瓤麸炒	859	
4	去皮一两	106	
4	去皮尖炒	116	
4	去苗一两	112	
4	去掉药渣	109	
4	取足少阴	104	
4	屈伸不便	109	
4	求予诊治	149	
4	秋伤于湿	195	
4	清浊相干	216	
4	清阳不升	141	
4	清热解毒	362	
4	清气在下	124	
4	轻身益气	126	
4	轻身延年	162	
4	轻身不老	108	
4	轻粉一钱	123	
4	切作片子	109	
4	强阴益精	115	
4	千金翼方	152	
4	千金要方	127	
4	弃衣而走	194	
4	气滞血瘀	157	
4	气血虚也	177	
4	气血虚弱	121	
4	气血特征	359	
4	气血凝滞	168	
4	气血两虚	138	
4	气血俱虚	295	
4	气血不足	156	
4	气味苦寒	107	
4	气味俱浓	118	
4	气味俱厚	106	
4	气味俱薄	214	
4	气上撞心	115	
4	气上冲胸	312	
4	气上冲心	129	
4	气不升降	252	
4	起则头眩	106	
4	起居不时	101	
4	脐腹疼痛	348	
4	脐腹冷痛	164	
4	奇效良方	160	
4	其主之者	167	
4	其支别者	182	
4	其用有四	137	
4	其用有二	119	
4	其血必结	113	
4	其效如神	741	
4	其为病也	141	
4	其痛立止	157	
4	其伤人也	188	
4	其人如狂	254	
4	其人或咳	109	
4	其气必虚	333	
4	其脉何类	108	
4	其脉浮大	114	
4	其故何也	482	
4	岐伯对曰	655	
4	岐伯答曰	343	
4	七钱五分	168	
4	迫血妄行	132	
4	脾主四肢	281	
4	脾主肌肉	372	
4	脾胃虚弱	427	
4	脾胃虚寒	175	
4	脾胃气虚	120	
4	脾胃不和	247	
4	脾湿肝郁	154	
4	脾气虚也	154	
4	脾气散精	257	
4	疲乏无力	146	
4	皮色不变	145	
4	皮肤瘙痒	190	
4	皮肤干燥	123	
4	皮肤不仁	220	
4	配伍效用	304	
4	炮去皮脐	654	
4	炮各一两	171	
4	炮各半两	156	
4	排脓止痛	148	
4	呕吐泄泻	182	
4	呕吐涎沫	177	
4	呕吐痰涎	116	
4	呕吐酸水	169	
4	呕吐清水	104	
4	呕吐恶心	152	
4	呕吐不止	284	
4	呕吐不食	252	
4	呕逆恶心	237	
4	呕不能食	134	
4	女子不月	124	
